name,team,position,tdc_grade,grade_num,ppg,rpg,apg,mpg
Ace Buckner,Clemson,PG,82,82,8.3,2.9,1.8,19.5
Cole Certa,Clemson,SG,84,84,12.8,1.7,0.8,26.8
Liutauras Lelevicius,Clemson,SF,81,81,8.0,3.4,0.7,23.7
David Fuchs,Clemson,PF,84,84,12.7,7.8,1.4,24.0
Carter Welling,Clemson,C,83,83,10.2,5.4,1.1,20.8
Zac Foster,Clemson,SG,82,82,6.9,2.8,2.5,18.6
Dylan Faulkner,Clemson,PF,82,82,17.2,8.6,1.8,26.1
Chase Thompson,Clemson,PF,75,75,2.3,1.1,0.3,9.0
Dallas Thomas,Clemson,PF,73,73,2.2,0.4,0.1,4.4
Trent Steinour,Clemson,PF,72,72,1.0,1.2,0.0,2.5
Harris Reynolds,Clemson,SG,74,74,,,,
Will Stevens,Clemson,C,71,71,,,,
Amaer James,Clemson,SG,66,66,,,,
Blake Davidson,Clemson,PF,60,60,,,,
Acaden Lewis,Miami,PG,87,87,12.2,3.0,5.3,30.5
Nick Dorn,Miami,SG,79,79,8.1,2.3,0.3,23.2
Shelton Henderson,Miami,SF,85,85,13.8,4.9,2.1,31.2
DeSean Goode,Miami,PF,82,82,15.2,8.7,1.4,30.9
Somoto Cyril,Miami,C,91,91,9.3,5.4,0.6,21.2
Dante Allen,Miami,SG,77,77,6.6,2.8,2.2,23.9
Brent Bland,Miami,SG,76,76,13.9,5.0,1.5,33.2
Caleb Gaskins,Miami,PF,75,75,,,,
Marcus Allen,Miami,SF,72,72,5.3,3.1,1.6,19.0
Quin Berger,Miami,PG,60,60,3.1,1.4,0.7,16.6
Chris Birden,Miami,PF,59,59,,,,
Cayden Boozer,Duke,PG,84,84,7.7,2.3,3.0,22.8
John Blackwell,Duke,SG,95,95,19.1,5.1,2.3,33.8
Dame Sarr,Duke,SF,89,89,6.4,3.8,1.1,23.5
Joaquim Boumtje Boumtje,Duke,PF,90,90,,,,
Patrick Ngongba,Duke,C,91,91,10.1,5.8,2.0,21.9
Cameron Williams,Duke,PF,89,89,,,,
Bryson Howard,Duke,SG,88,88,,,,
Caleb Foster,Duke,PG,84,84,8.3,3.5,2.8,24.8
Deron Rippey Jr.,Duke,PG,83,83,,,,
Drew Scharniwski,Duke,PF,83,83,10.7,6.0,2.6,21.8
Maxime Meyer,Duke,C,77,77,,,,
Jacob Theodosiou,Duke,SG,74,74,13.1,3.6,2.7,23.3
Braeden Smith,Notre Dame,PG,78,78,5.1,2.2,3.6,17.1
Braeden Shrewsberry,Notre Dame,SG,79,79,11.9,3.1,1.9,32.7
Ethan Roberts,Notre Dame,SF,82,82,16.9,3.9,2.3,30.5
Abdramane Siby,Syracuse,C,78,78,,,,
Brady Koehler,Notre Dame,PF,81,81,5.6,3.2,0.3,16.0
Logan Duncomb,Notre Dame,C,84,84,18.3,8.9,1.6,24.3
Jonathan Sanderson,Notre Dame,PG,78,78,,,,
Tommy Ahneman,Notre Dame,C,76,76,,,,
Logan Imes,Notre Dame,SG,75,75,4.7,3.2,1.7,21.1
Devin Brown,Notre Dame,SF,75,75,6.4,3.4,1.6,23.4
Bryce Dortch,Notre Dame,PF,70,70,2.1,3.2,0.1,14.4
Gan-Eredene Solongo,Notre Dame,C,69,69,,,,
Nick Shrewsberry,Notre Dame,SG,62,62,,,,
Brady Stevens,Notre Dame,SG,60,60,0.6,0.4,0.2,2.4
Tommy Devine,Notre Dame,SF,60,60,,,,
Chance Mallory,Virginia,PG,85,85,9.3,3.7,3.4,24.0
Jurian Dixon,Virginia,SG,84,84,15.9,3.6,2.5,30.4
Sam Lewis,Virginia,SF,84,84,10.6,3.6,1.4,25.4
Thijs De Ridder,Virginia,PF,93,93,15.6,6.2,1.6,27.7
Johann Grunloh,Virginia,C,87,87,7.1,5.2,0.6,21.0
Jan Vide,Virginia,SG,79,79,12.1,3.0,4.0,28.7
Christian Harmon,Virginia,SG,79,79,12.8,3.7,2.5,27.6
Kalu Anya,Virginia,PF,76,76,6.7,7.7,2.5,28.0
Elijah Gertrude,Virginia,SG,75,75,1.7,0.8,0.6,6.2
Martin Carrere,Virginia,SF,71,71,0.8,0.5,0.3,3.9
Favour Ibe,Virginia,C,73,73,,,,
Silas Barksdale,Virginia,PF,70,70,,,,
Carter Lang,Virginia,PF,66,66,0.4,0.5,0.3,2.2
Christian Bliss,Stanford,PG,77,77,16.7,5.2,5.9,39.7
Julius Price,Stanford,SG,73,73,,,,
Aziz Olajuwon,Stanford,SF,77,77,,,,
Donavin Young,Stanford,PF,74,74,2.5,2.7,0.7,15.5
Aidan Cammann,Stanford,C,78,78,6.5,3.8,1.4,21.8
Austin Maurer,Stanford,C,76,76,7.2,4.7,0.5,17.8
Isaiah Rogers,Stanford,PG,73,73,,,,
Anthony Batson Jr.,Stanford,SG,72,72,,,,
Drew Anderson,Stanford,PF,70,70,,,,
Kristers Skrinda,Stanford,PF,68,68,0.8,1.6,0.1,6.1
Elias Obenyah,Stanford,SG,69,69,,,,
Evan Stinson,Stanford,PF,68,68,1.8,0.5,0.3,5.3
Tallis Toure,Stanford,C,66,66,0.0,1.0,0.0,3.5
Myles Jones,Stanford,SG,68,68,,,,
Ben Hammond,Virginia Tech,PG,86,86,13.2,2.3,3.2,31.5
Jaylen Curry,Virginia Tech,SG,83,83,10.1,3.2,3.5,23.8
Tyler Johnson,Virginia Tech,SF,79,79,8.0,4.5,1.6,26.2
Amani Hansberry,Virginia Tech,PF,88,88,14.3,7.4,2.4,30.7
Terrence Brown,North Carolina,PG,81,81,19.9,2.4,3.8,31.5
Neoklis Avdalas,North Carolina,SG,84,84,12.1,3.1,4.6,31.7
Maximo Adams,North Carolina,PF,86,86,,,,
Jarin Stevenson,North Carolina,PF,86,86,8.1,4.4,0.9,25.8
Sayon Keita,North Carolina,C,85,85,,,,
Matt Able,North Carolina,SF,84,84,8.8,3.4,0.9,21.7
Alexandros Samodurov,North Carolina,C,77,77,,,,
Cade Bennerman,North Carolina,C,76,76,,,,
Isaiah Denis,North Carolina,SG,75,75,1.9,0.6,0.1,3.4
Kevin Thomas,North Carolina,SF,74,74,,,,
Jaydon Young,North Carolina,SG,71,71,1.8,0.9,0.4,7.2
Mallory Smith,North Carolina,SG,63,63,,,,
Rowan Brumbaugh,SMU,PG,85,85,19.2,4.9,3.5,36.1
David Terrell Jr.,SMU,SG,84,84,13.5,3.7,4.8,32.8
Jermaine O'Neal Jr.,SMU,SF,76,76,4.5,2.0,0.4,14.9
Jaylin Stewart,SMU,PF,82,82,4.2,2.6,1.1,16.2
Jaden Toombs,SMU,C,91,91,8.3,4.6,1.1,20.0
Nic Codie,SMU,PF,77,77,4.1,3.1,0.8,15.8
Billy White lll,SMU,PF,75,75,,,,
Johan Munch,SMU,C,76,76,7.9,5.1,1.0,21.0
Jacob Patrick,SMU,SG,73,73,7.2,1.4,0.5,20.3
Nigel Walls,SMU,PF,69,69,0.0,0.2,0.2,3.4
Cam Lomax,SMU,PG,67,67,,,,
Gehrig Normand,SMU,SG,68,68,0.7,0.1,0.3,2.1
Anthony Robinson ll,Florida State,PG,82,82,8.9,3.1,3.0,27.1
Kameron Taylor,Florida State,SG,86,86,18.9,5.0,3.0,34.7
Shon Abaev,Florida State,SF,79,79,7.0,2.9,1.1,15.9
Sebastian Rancik,Florida State,PF,83,83,12.3,5.6,2.0,28.1
Marcus Ponder,Florida State,C,76,76,,,,
Elisee Assui,Florida State,SF,77,77,,,,
Collin Paul,Florida State,SF,76,76,,,,
Martay Barnes,Florida State,SG,75,75,,,,
Cooper Schwieger,Florida State,PF,73,73,5.1,2.5,0.9,20.2
AJ Swinton,Florida State,SF,73,73,4.5,1.8,0.4,15.8
Brandon Bass Jr.,Florida State,SG,70,70,,,,
Jasen Lopez,Florida State,PG,67,67,,,,
Amare Robinson,Florida State,PG,68,68,,,,
JD Jones,Florida State,SG,66,66,,,,
Jackson Shelstad,Louisville,PG,87,87,15.6,2.9,4.9,34.8
Adrian Wooley,Louisville,SG,85,85,8.7,3.9,1.8,22.5
Karter Knox,Louisville,SF,82,82,8.1,4.5,1.2,22.2
Alvaro Folgueiras,Louisville,PF,89,89,8.4,3.6,2.2,20.8
Miles Heide,Virginia Tech,C,78,78,5.6,4.5,0.8,19.1
Kuol Atak,Virginia Tech,PF,80,80,7.0,1.3,0.2,12.4
Isaiah Elohim,Virginia Tech,SF,80,80,12.4,4.2,1.0,28.1
Ethan Copeland,Virginia Tech,SG,75,75,15.0,3.7,2.1,32.1
Musa Sagnia,Virginia Tech,C,70,70,2.3,2.8,0.2,12.4
Sin'Cere Jones,Virginia Tech,SF,69,69,1.4,0.0,6.4,0.3
Solomon Davis,Virginia Tech,C,68,68,,,,
Ned Hull,Virginia Tech,SG,61,61,4.5,1.8,0.9,18.0
Eltayeb Eltayeb,Virginia Tech,SF,63,63,,,,
Kevair Kennedy,Wake Forest,PG,85,85,18.4,4.6,4.2,36.8
Justin Ray,Wake Forest,SG,81,81,11.3,2.1,1.2,28.4
Jamari McDowell,Wake Forest,SF,75,75,3.3,1.6,1.1,17.2
Gavin Placide,Wake Forest,PF,76,76,,,,
Xander Pintelon,Wake Forest,C,74,74,6.2,3.7,0.7,18.1
Ring Nyeri,Wake Forest,PF,73,73,8.5,6.3,0.6,25.8
Isaac Carr,Wake Forest,SG,72,72,2.2,1.7,1.2,11.2
Gallagher Placide,Wake Forest,PF,75,75,,,,
Antonio Dorn,Wake Forest,C,71,71,2.6,1.8,0.4,8.5
Vincent Chaudhri,Wake Forest,SF,66,66,,,,
Armoni Zeigler,Boston College,PG,82,82,12.5,5.1,3.3,32.4
Money Williams,Boston College,SG,86,86,20.6,4.3,4.7,31.2
Jacob Furphy,Boston College,SF,75,75,0.4,0.1,0.0,2.4
Brandon Benjamin,Boston College,PF,80,80,14.2,10.4,1.2,31.3
Luke Hunger,Boston College,C,73,73,8.4,5.1,0.9,19.2
Ernest Shelton,Boston College,SG,77,77,15.9,3.1,0.9,36.8
Andrija Bukumirovic,Boston College,SF,77,77,13.8,7.8,1.0,29.3
Zak Smrekar,Boston College,SF,75,75,,,,
Colby Duggan,Boston College,SF,75,75,9.3,2.4,2.3,28.1
Aly Tounkara,Boston College,C,71,71,4.3,5.5,0.5,18.2
Jack Bailey,Boston College,SF,70,70,,,,
JB Frankel,Boston College,SG,64,64,5.9,2.0,1.9,20.6
Jordan Ghee,Boston College,SG,66,66,,,,
Garwey Dual,Syracuse,PG,79,79,8.4,2.9,4.4,26.5
Aiden Tobiason,Syracuse,SG,80,80,15.3,3.7,2.0,35.3
Gavin Doty,Syracuse,SF,85,85,18.0,6.9,2.2,36.8
Sadiq White Jr.,Syracuse,PF,84,84,6.1,3.3,0.4,15.1
Luke Wilson,Syracuse,C,80,80,10.7,8.3,0.6,28.1
Francis Folefac,Syracuse,SF,79,79,11.3,5.3,2.2,28.1
Flory Bidunga,Louisville,C,92,92,13.3,9.0,1.5,31.6
De'Shayne Montgomery,Louisville,SG,86,86,13.4,4.0,2.1,30.6
Obinna Ekezie Jr.,Louisville,C,81,81,,,,
London Johnson,Louisville,SG,80,80,,,,
Boyuan Zhang,Louisville,PF,75,75,,,,
Gabe Dynes,Louisville,C,74,74,2.9,2.3,0.4,11.9
Isaac Ellis,Louisville,PG,67,67,,,,
Preston Edmead,NC-State,PG,84,84,16.1,3.5,4.4,33.9
Christian Hammond,NC-State,PG,84,84,15.6,3.0,2.5,30.4
Paul McNeil,NC-State,SF,90,90,13.8,3.6,0.8,28.6
Robert Jurkovic,NC-State,PF,83,83,,,,
Kyle Evans,NC-State,C,83,83,12.1,8.7,0.9,28.6
Darius Adams,NC-State,PG,81,81,10.8,3.4,1.6,25.6
Eemeli Yalaho,NC-State,PF,77,77,10.1,5.7,1.7,28.4
Zymicah Wilkins,NC-State,PF,70,70,,,,
Kingston Whitty,NC-State,PG,69,69,,,,
RJ Keene,NC-State,SF,67,67,2.6,4.6,1.9,22.2
Jordan Ross,California,PG,81,81,6.7,2.5,2.3,20.9
Michael Cooper Jr.,California,PG,80,80,13.4,2.7,2.2,26.5
Norjus Indrusaitis,California,SG,75,75,9.1,3.1,1.7,23.5
Jake Wilkins,California,PF,79,79,4.9,1.8,0.4,10.2
Lee Dort,California,C,76,76,8.1,7.8,0.9,23.1
Amier Ali,California,SF,72,72,3.2,1.7,0.2,7.3
Nicolas Mitrovic,California,C,68,68,,,,
Jovani Ruff,California,SG,69,69,,,,
Dionycius Bakare,California,SF,68,68,,,,
Sammie Yeanay,California,PF,65,65,1.1,1.0,0.2,4.6
Mantas Kocanas,California,C,65,65,1.7,1.5,0.1,6.8
Dhiaukuei Manyiel Dut,California,C,60,60,0.4,1.0,0.1,3.6
Naithan George,Pittsburgh,PG,82,82,10.9,3.0,5.4,32.1
A'lahn Sumler,Pittsburgh,SG,82,82,18.9,4.8,3.8,30.3
Jalil Bethea,Pittsburgh,SF,79,79,3.9,1.7,0.5,7.9
Baye Ndongo,Pittsburgh,PF,84,84,11.8,8.1,2.4,27.2
Jonathan Powell,Pittsburgh,SG,77,77,4.8,2.4,0.7,16.3
Chase Foster,Pittsburgh,PF,74,74,,,,
Jemel Jones,Pittsburgh,SG,73,73,,,,
Dominique Diomande,Pittsburgh,PF,72,72,1.9,1.3,0.1,7.2
Kraig Gilbert,Pittsburgh,SF,73,73,,,,
Kiyan Anthony,Syracuse,SG,75,75,8.0,1.4,0.9,18.7
Tasman Goodrick,Syracuse,PF,76,76,9.7,7.3,1.3,23.3
Mark Morano Mahmutovic,Syracuse,SF,68,68,,,,
Ryan Moesch,Syracuse,PG,69,69,,,,
Iker Martinez,Syracuse,C,66,66,,,,
Calvin Russell,Syracuse,CG,60,60,,,,
Colby Garland,Georgia Tech,PG,82,82,20.3,3.3,4.6,35.1
Nasir Whitlock,Georgia Tech,SG,83,83,20.5,3.5,3.3,34.9
Kayden Allen,Georgia Tech,SF,76,76,,,,
Victor Valdes,Georgia Tech,PF,84,84,14.8,4.0,4.5,29.2
Jackson McVey,Georgia Tech,C,70,70,,,,
Jackson Fields,Georgia Tech,PF,76,76,4.3,3.4,1.1,14.2
Kam Craft,Georgia Tech,SG,75,75,7.3,2.1,0.9,21.4
Moustapha Diop,Georgia Tech,C,74,74,,,,
Tylis Jordan,Georgia Tech,PF,70,70,,,,
Cole Kirouac,Georgia Tech,C,70,70,1.7,2.3,0.3,11.4
Kaiden Bailey,Georgia Tech,SG,70,70,,,,
Ilja Kurucs,Georgia Tech,PF,69,69,,,,
Haiden Harper,Georgia Tech,PG,67,67,,,,
Jake West,Northwestern,PG,79,79,5.3,0.8,2.8,21.9
LA Pratt,Northwestern,SG,81,81,17.0,1.7,3.3,33.0
Angelo Ciaravino,Northwestern,SF,77,77,6.3,3.9,1.2,22.0
Jack Karasinski,Northwestern,PF,84,84,21.7,4.7,1.2,29.9
Symon Ghai,Northwestern,C,75,75,,,,
Colin Smith,Northwestern,SF,78,78,11.9,4.2,1.5,29.3
Jayden Hodge,Northwestern,SF,75,75,,,,
Luke McEdlon,Northwestern,C,75,75,11.7,6.2,1.3,25.6
Aleksej Kostic,Northwestern,SG,74,74,4.4,0.9,0.4,12.0
Okku Federiko,Northwestern,PF,73,73,8.6,4.8,1.5,23.2
Phoenix Gill,Northwestern,SG,67,67,0.5,0.5,0.3,3.5
Ryan Soulis,Northwestern,PF,68,68,5.8,4.6,1.5,20.0
Dylan Williams,Northwestern,PG,64,64,2.1,1.0,1.6,8.7
Jeremy Fears Jr.,Michigan State,PG,96,96,15.2,2.4,9.4,32.4
Jasiah Jervis,Michigan State,SG,82,82,,,,
Jordan Scott,Michigan State,SF,81,81,5.8,3.1,1.2,20.8
Coen Carr,Michigan State,PF,83,83,12.0,5.4,1.2,29.2
Anton Bonke,Michigan State,C,79,79,10.6,8.3,1.0,25.6
Kaleb Glenn,Michigan State,PF,77,77,,,,
Cam Ward,Michigan State,SF,78,78,5.1,4.2,0.3,15.3
Kur Teng,Michigan State,SG,77,77,7.3,2.0,1.0,17.5
Julius Avent,Michigan State,PF,74,74,,,,
Timofei Rudovskii,Pittsburgh,SF,74,74,12.9,4.7,1.8,31.5
Ibrahim Soure,Pittsburgh,PF,69,69,0.9,1.9,0.2,8.3
Colin Hawkins,Pittsburgh,PG,70,70,8.2,1.8,2.1,27.2
Macari Moore,Pittsburgh,SG,66,66,1.4,0.9,0.8,5.8
Henry Lau,Pittsburgh,PF,65,65,,,,
Elliot Cadeau,Michigan,PG,90,90,10.5,2.7,5.9,27.3
Brandon McCoy Jr.,Michigan,SG,85,85,,,,
Trey Mckenney,Michigan,SG,85,85,9.9,2.8,0.9,22.1
JP Estrella,Michigan,PF,88,88,10.0,5.4,0.8,18.3
Moustapha Thiam,Michigan,C,94,94,12.8,7.1,0.5,27.2
LJ Cason,Michigan,PG,82,82,8.4,1.9,2.4,18.6
Jalen Reed,Michigan,PF,80,80,9.5,5.7,0.7,18.0
Quinn Costello,Michigan,PF,76,76,,,,
Lincoln Cosby,Michigan,SF,76,76,,,,
Marcus Moller,Michigan,C,76,76,,,,
Oscar Goodman,Michigan,SF,71,71,1.4,1.3,0.4,5.2
Joseph Hartman,Michigan,SG,71,71,,,,
Malachi Brown,Michigan,SF,70,70,,,,
Ricky Liburd,Michigan,SF,62,62,,,,
Fred Payne,Oregon,PG,84,84,15.8,4.2,2.7,34.7
Tyrone Riley IV,Oregon,SG,86,86,12.2,4.8,1.2,31.8
Dywane Aristode,Oregon,SF,80,80,3.8,1.7,0.7,13.2
Taylor Bol Bowen,Oregon,PF,78,78,6.3,4.2,0.5,19.0
Sean Stewart,Oregon,C,77,77,6.5,5.2,1.2,23.0
Andrew Meadow,Oregon,SF,78,78,12.1,3.6,1.0,29.9
Pharaoh Comtpon,Oregon,PF,78,78,7.5,2.8,0.3,13.8
Jerry Easter ll,Oregon,PG,77,77,4.4,3.0,1.1,17.4
Tajh Ariza,Oregon,SF,75,75,,,,
Jasper Johnson,Oregon,SG,75,75,4.9,1.1,1.6,12.0
Seven Spurlock,Oregon,SF,68,68,,,,
Omer Mayer,Purdue,PG,82,82,5.5,1.1,1.2,14.3
CJ Cox,Purdue,SG,85,85,8.5,2.8,1.3,24.4
Caden Pierce,Purdue,SF,83,83,,,,
Jack Benter,Purdue,PF,78,78,4.4,2.6,0.8,14.7
Daniel Jacobsen,Purdue,C,78,78,5.5,3.0,0.3,12.9
Antione West Jr.,Purdue,SG,76,76,,,,
Luke Ertel,Purdue,PG,75,75,,,,
Jacob Webber,Purdue,SF,75,75,,,,
Gicarri Harris,Purdue,SG,75,75,4.6,1.6,0.8,15.8
Sinan Haun,Purdue,C,70,70,,,,
Raleigh Burgess,Purdue,C,69,69,,,,
Rivers Knight,Purdue,PF,68,68,,,,
Jamyn Sondrup,Purdue,C,68,68,,,,
Rodney Rice,USC,SG,89,89,20.3,3.3,6.0,33.8
Jesse McCulloch,Michigan State,PF,74,74,2.4,1.3,0.2,7.4
Ethan Taylor,Michigan State,C,73,73,,,,
Carlos Medlock Jr.,Michigan State,PG,72,72,,,,
Trevan Leonhardt,Nebraska,PG,83,83,11.9,5.4,6.0,34.4
Pryce Sandfort,Nebraska,SF,94,94,18.1,4.9,2.0,33.6
Braden Frager,Nebraska,SF,85,85,11.8,3.8,1.0,23.6
Sam Orme,Nebraska,PF,81,81,12.7,5.0,1.8,25.7
Boden Kapke,Nebraska,C,81,81,10.6,5.7,0.7,26.8
Taj Degourville,Nebraska,PG,79,79,5.5,2.8,3.0,19.4
Damon Wilkinson,Nebraska,C,79,79,13.9,6.4,1.3,23.9
Connor Essegian,Nebraska,SG,76,76,5.4,1.3,0.9,14.0
Cale Jacobsen,Nebraska,SG,75,75,4.6,2.9,1.3,19.7
Collin Rice,Nebraska,SF,74,74,,,,
Will Cooper 24-25,Nebraska,SG,72,72,,,,
Leo Curtis,Nebraska,C,72,72,1.6,0.5,0.2,3.6
Kadyn Betts,Nebraska,PF,66,66,3.1,1.1,0.2,6.6
Jacob Lanier,Nebraska,SF,65,65,,,,
Stefan Vaaks,Illinois,SG,84,84,15.8,2.5,3.2,31.5
Quentin Coleman,Illinois,SG,82,82,,,,
Andrej Stojakovic,Illinois,SF,86,86,13.5,4.5,1.0,26.3
David Mirkovic,Illinois,PF,92,92,13.3,8.0,2.6,29.5
Tomislav Ivisic,Illinois,C,87,87,10.4,5.6,1.6,25.4
Zvonimir Ivisic,Illinois,C,84,84,6.4,4.5,0.3,17.2
Jake Davis,Illinois,SG,77,77,5.4,2.2,0.7,19.6
Lucas Morillo,Illinois,SG,75,75,,,,
Zavier Zens,Illinois,PF,70,70,,,,
Ethan Brown,Illinois,SG,70,70,,,,
Landon Davis,Illinois,PF,68,68,,,,
Owen Foxwell,Wisconsin,PG,84,84,,,,
Trey Autry,Wisconsin,SG,79,79,11.0,3.5,1.5,28.7
Eian Elmer,Wisconsin,SF,86,86,12.7,5.9,1.1,30.3
Austin Rapp,Wisconsin,PF,85,85,9.7,4.0,1.6,23.1
Nolan Winter,Wisconsin,C,88,88,13.1,8.5,1.5,30.7
Jackson Ball,Wisconsin,SG,79,79,,,,
Victory Onuetu,Wisconsin,C,75,75,4.7,6.9,0.4,17.9
Jack Janicki,Wisconsin,SF,74,74,2.2,2.0,1.1,16.5
Hayden Jones,Wisconsin,SF,71,71,1.7,1.0,0.4,7.1
Will Garlock,Wisconsin,C,71,71,1.1,1.1,0.7,6.6
Isaac Riddle,Wisconsin,PF,70,70,,,,
LaTrevion Fenderson,Wisconsin,SF,67,67,,,,
Zach Kinziger,Wisconsin,SG,67,67,1.3,0.3,0.6,4.8
Josh Manchester,Wisconsin,SG,65,65,,,,
Kael Combs,Iowa,PG,80,80,6.1,2.4,2.4,26.1
Alijah Arenas,USC,SG,86,86,14.1,2.9,2.1,27.6
Christian Collins,USC,SF,88,88,,,,
Jacob Cofie,USC,PF,87,87,9.9,6.8,1.9,30.5
Eric Reibe,USC,C,80,80,5.9,3.3,0.5,13.8
KJ Lewis,USC,SG,85,85,14.9,5.1,2.5,30.0
Jalen Cox,USC,PG,82,82,17.9,5.2,5.3,34.1
Adonis Ratliff,USC,PF,80,80,,,,
Darius Ratliff,USC,PF,79,79,,,,
Jadis Jones,USC,SF,79,79,15.3,8.5,2.6,32.9
Isaac Bruns,USC,SG,80,80,20.8,5.1,1.3,31.0
Aaron Hunkin-Claytor,USC,PG,75,75,6.0,2.8,3.9,28.1
Joshua Hughes,USC,PF,75,75,7.2,5.2,0.7,29.8
Jaylen Petty,UCLA,PG,86,86,9.9,3.9,2.2,30.5
Trent Perry,UCLA,PG,86,86,12.6,3.0,2.8,29.9
Eric Dailey,UCLA,SF,85,85,11.6,5.8,1.3,27.6
Filip Jovic,UCLA,PF,77,77,6.3,4.0,0.6,18.2
Xavier Booker,UCLA,PF,79,79,7.3,3.5,0.8,20.1
Azavier Robinson,UCLA,PG,78,78,6.1,1.9,2.5,18.3
Brandon Williams,UCLA,PF,77,77,2.6,1.9,0.3,12.1
Joe Philon,UCLA,SF,75,75,,,,
Eric Freeny,UCLA,SG,74,74,2.0,1.6,0.4,11.0
Sergej Macura,UCLA,PF,75,75,5.0,4.8,0.8,18.5
Javonte Floyd,UCLA,C,70,70,,,,
Gunars Grinvalds,UCLA,SF,72,72,,,,
Markell Alston,UCLA,PG,65,65,,,,
Jimmie Williams,Ohio State,SG,84,84,15.1,4.5,2.6,29.7
John Mobley Jr.,Ohio State,SG,88,88,15.7,2.4,2.8,31.6
Anthony Thompson,Ohio State,PF,87,87,,,,
Amare Bynum,Ohio State,PF,85,85,9.7,4.9,1.1,28.5
Josh Ojanwuna,Ohio State,C,77,77,,,,
Justin Pippen,Ohio State,PG,82,82,14.2,3.9,4.6,30.8
Curtis Givens,Ohio State,SG,80,80,9.4,2.1,2.3,25.6
Andrija Jelavic,Ohio State,PF,78,78,5.5,4.0,0.7,15.6
Ivan Njegovan,Ohio State,C,74,74,2.6,3.0,0.7,11.4
Alex Smith,Ohio State,PF,69,69,,,,
Vuk Lazarevic,Ohio State,C,70,70,,,,
Myles Herro,Ohio State,PG,60,60,,,,
Markus Burton,Indiana,PG,92,92,18.5,2.8,3.7,30.1
Bryce Lindsay,Indiana,SG,85,85,12.3,2.1,2.1,28.6
Jaeden Mustaf,Indiana,SF,80,80,10.4,4.3,2.4,27.8
Isaia Howard,Iowa,SG,79,79,5.1,2.6,1.1,18.2
Tate Sage,Iowa,SF,80,80,6.1,2.1,0.7,16.2
Cooper Koch,Iowa,SF,81,81,7.8,3.1,1.1,28.4
Cam Manyawu,Iowa,PF,80,80,6.6,4.6,1.1,19.2
Andrew McKeever,Iowa,C,80,80,8.2,9.2,1.8,23.2
Ty'Reek Coleman,Iowa,SG,77,77,10.0,2.7,1.8,22.7
Trey Thompson,Iowa,PF,75,75,,,,
Trevin Jirak,Iowa,C,74,74,3.4,0.9,1.1,8.0
Ethan Harris,Iowa,PF,70,70,,,,
Joey Matteoni,Iowa,PF,69,69,1.5,0.6,0.3,3.7
Jaidyn Coon,Iowa,SF,68,68,,,,
DJ Wagner,Maryland,PG,80,80,7.4,1.6,2.4,23.6
Andre Mills,Maryland,SG,79,79,12.2,4.1,1.6,26.7
Baba Oladotun,Maryland,PF,82,82,,,,
Tomislav Buljan,Maryland,PF,81,81,13.1,10.3,1.5,25.9
Pharrel Payne,Maryland,C,85,85,17.5,7.2,1.4,26.9
Bishop Boswell,Maryland,PG,77,77,6.2,4.4,3.1,26.4
Michael McNair,Maryland,SG,78,78,16.9,5.1,2.1,36.1
George Turkson Jr.,Maryland,PF,76,76,1.3,2.0,0.2,11.4
Kaden House,Maryland,SG,74,74,,,,
Robert Jennings ll,Maryland,PF,74,74,3.7,4.0,0.0,13.0
Adama Tambedou,Maryland,PF,71,71,,,,
Maban Jabriel,Maryland,PF,69,69,7.7,3.8,1.0,19.8
Guillermo Del Pino,Maryland,PG,70,70,1.5,0.7,0.5,8.9
Austin Brown,Maryland,SF,68,68,,,,
Ryan Beasley,Washington,PG,82,82,13.6,3.4,4.0,33.3
Wesley Yates,Washington,SG,84,84,12.7,3.3,1.3,31.4
Parker Friedrichsen,Washington,SG,77,77,10.8,2.5,1.4,25.3
LeJuan Watts,Washington,SF,83,83,11.8,6.0,2.4,27.3
Lathan Sommerville,Washington,C,77,77,4.3,2.6,0.2,14.5
Tristan Devers,Washington,SG,76,76,,,,
Steele Venters,Washington,SF,76,76,5.0,1.3,1.0,15.0
Jasir Rencher,Washington,SF,75,75,3.0,1.8,0.1,8.1
Boris Tišma,Washington,PF,74,74,,,,
Nikola Dzepina,Washington,PF,73,73,2.6,1.3,0.7,11.1
Wini Braga,Washington,PF,71,71,,,,
Lattimore Ford,Washington,SF,69,69,,,,
Mady Traore,Washington,C,69,69,,,,
Tariq Francis,Rutgers,PG,84,84,17.0,2.3,2.9,27.8
Jamichael Davis,Rutgers,PG,79,79,7.5,2.9,2.5,26.2
Darin Smith Jr.,Rutgers,SF,85,85,20.7,5.4,1.2,32.6
Aiden Sherrell,Indiana,C,86,86,11.1,6.2,1.1,23.9
Samet Yigitoglu,Indiana,C,81,81,10.7,7.9,1.6,28.9
Darren Harris,Indiana,SG,78,78,3.3,0.8,0.4,9.7
Trent Sisley,Indiana,PF,75,75,4.2,2.8,0.4,13.1
Vaughn Karvala,Indiana,SF,73,73,,,,
