name,team,position,tdc_grade,grade_num,ppg,rpg,apg,mpg
Brock Vice,Kansas State,C,64,64,2.0,1.8,0.2,5.3
Brock Harding,TCU,PG,83,83,8.0,2.9,5.6,31.8
Gavin Sykes,TCU,SG,84,84,19.4,3.0,1.5,32.9
Tanner Toolson,TCU,SF,81,81,7.7,3.2,0.9,21.0
Micah Robinson,TCU,PF,83,83,10.9,4.7,1.7,26.9
Xavier Edmonds,TCU,C,86,86,12.7,6.5,1.2,22.9
Trent Lincoln,TCU,PG,80,80,,,,
Luke Bamgboye,TCU,C,77,77,4.5,3.4,0.5,16.6
DJ Thomas,TCU,PF,77,77,6.6,2.1,0.6,16.7
Milos Sojic,TCU,PF,75,75,,,,
Ricards Aizpurs,TCU,SF,72,72,,,,
Ryan Hunt,TCU,C,73,73,,,,
Gavin Murphy,TCU,PG,68,68,,,,
Tylen Riley,Cincinnati,PG,85,85,15.0,3.9,4.4,27.7
Myles Colvin,Cincinnati,SG,83,83,11.6,4.4,1.4,27.1
Adlan Elamin,Cincinnati,SF,81,81,6.7,3.1,0.9,19.5
Tyler Tejada,Cincinnati,PF,86,86,17.7,5.5,2.3,35.6
Riley Allenspach,Cincinnati,C,86,86,13.6,6.1,0.8,24.9
Jayden Hastings,Cincinnati,PF,79,79,6.7,5.6,0.7,22.6
Akai Fleming,Cincinnati,SG,79,79,10.4,3.2,1.3,25.5
Eric Mahaffey,Cincinnati,PF,76,76,7.8,5.6,1.5,21.9
Elijah Perryman,Cincinnati,PG,76,76,4.4,1.6,3.1,13.9
Joel Foxwell,Arizona State,PG,84,84,15.6,4.3,6.5,35.6
Bryce Ford,Arizona State,SG,76,76,6.9,1.6,0.8,22.4
Dillan Shaw,Arizona State,SF,83,83,7.5,5.4,1.5,27.5
Paulius Murauskas,Arizona State,PF,87,87,18.4,7.6,2.1,32.2
Ben Defty,Arizona State,C,83,83,15.1,6.8,1.9,29.5
Emmanuel Innocenti,Arizona State,SF,78,78,6.0,3.8,1.7,24.3
Ajak Nyuon,Arizona State,C,73,73,,,,
Filip Malesevic,Arizona State,C,73,73,,,,
Marcus Vaughns,Arizona State,PF,71,71,,,,
Jonathan Griman,Arizona State,PF,71,71,6.1,5.9,0.5,23.2
JRob Croy,Arizona State,SG,69,69,,,,
Marcus Jackson,Arizona State,C,68,68,,,,
Nate Garcia,Arizona State,C,66,66,2.4,1.1,0.1,6.1
Vijay Wallace,Arizona State,SF,59,59,,,,
Noam Yaacov,Utah,PG,85,85,,,,
TJ Burch,Utah,PG,80,80,12.4,2.4,3.6,24.7
Taison Chatman,Utah,SG,79,79,4.3,1.2,0.8,12.9
Jackson Holcombe,Utah,PF,82,82,16.0,7.0,3.6,30.1
Flynn Schott,Utah,PF,74,74,,,,
Malek Gomma,Utah,PF,74,74,8.0,6.9,1.4,25.1
Jaxon Johnson,Utah,PF,68,68,,,,
Obomate Abbey,Utah,PG,70,70,2.5,1.6,2.2,15.3
Lucas Langarita,Utah,SG,69,69,2.6,1.2,0.6,12.6
Zati Loubaki,Utah,C,71,71,,,,
David Katoa,Utah,SG,68,68,,,,
Lukas McCanna,Utah,C,66,66,,,,
Bryce Mella,Utah,SG,66,66,,,,
Nigel James Jr.,Marquette,PG,91,91,16.4,3.4,4.9,29.2
Adrien Stevens,Marquette,SG,81,81,7.9,2.6,1.6,26.1
Nolan Minessale,Marquette,SG,84,84,19.8,4.6,4.3,31.1
Royce Parham,Marquette,PF,85,85,12.5,4.9,0.9,28.7
Sananda Fru,Marquette,C,83,83,9.0,6.1,1.2,22.0
Damarius Owens,Marquette,SF,78,78,4.8,2.6,0.7,15.6
Caedin Hamilton,Marquette,PF,76,76,2.9,2.9,0.6,12.9
Michael Phillips,Marquette,SF,72,72,2.1,1.3,0.2,7.9
Ian Miletic,Marquette,SF,71,71,,,,
Joshua Clark,Marquette,C,69,69,1.3,1.9,0.0,5.4
Alex Egbuonu,Marquette,SF,73,73,,,,
Ethan Johnson,Marquette,SG,69,69,,,,
Colton Crowdis,Marquette,PG,65,65,,,,
Nash Walker,Marquette,SF,63,63,,,,
Quinn Ellis,St. John's,PG,90,90,,,,
Tounde Yessoufou,St. John's,SF,88,88,17.8,5.9,1.6,32.6
Babacar Sane,St. John's,SF,86,86,,,,
Trevian Carson,Cincinnati,PG,77,77,11.9,6.5,2.9,31.6
David Iweze,Cincinnati,PF,68,68,,,,
Lucas Atauri,Cincinnati,SG,68,68,,,,
Deshaun Vaden,Cincinnati,PF,64,64,,,,
Silas Demary Jr.,UConn,PG,89,89,10.1,4.5,5.9,28.4
Braylon Mullins,UConn,SG,89,89,12.0,3.5,1.4,28.3
Jayden Ross,UConn,SF,83,83,4.6,2.5,0.8,17.4
Nikolas Khamenia,UConn,PF,83,83,5.7,3.3,1.0,19.8
Najai Hines,UConn,C,85,85,6.5,5.5,0.6,18.0
Colben Landrew,UConn,SF,81,81,,,,
Nils Machowksi,UConn,SG,78,78,17.2,5.7,2.6,33.7
Junior County,UConn,SG,78,78,,,,
Oskar Giltay,UConn,C,77,77,3.3,4.1,0.3,14.6
Jaye Nash,UConn,PG,76,76,5.1,2.8,4.0,25.7
Jacob Ross,UConn,SF,67,67,,,,
Emir Dzafic,UConn,C,68,68,0.4,0.1,0.0,2.1
Solo Ball,UConn,SG,87,87,12.8,3.0,1.5,28.4
Wes Enis,Creighton,PG,86,86,16.4,3.6,2.4,34.0
Austin Swartz,Creighton,SG,81,81,10.9,2.8,1.4,21.5
Hudson Greer,Creighton,SF,78,78,4.7,2.0,0.4,13.7
Jackson McAndrew,Creighton,SF,84,84,6.8,4.5,0.5,20.5
Oswin Erhunmwunse,Creighton,C,80,80,6.9,8.3,0.8,25.0
Jasen Green,Creighton,PF,81,81,10.5,6.3,2.4,28.4
BJ Davis,Creighton,PG,78,78,10.8,3.2,2.2,22.2
Kayden Edwards,Creighton,SG,76,76,3.2,0.6,0.6,6.4
Isaac Traudt,Creighton,C,76,76,6.5,2.5,0.4,18.9
Katrelle Harmon,Creighton,SG,75,75,,,,
Trevon Carter-Givens,Creighton,C,71,71,,,,
Wesley Rosa,Creighton,C,70,70,,,,
Shane Thomas,Creighton,SG,60,60,0.8,0.7,0.2,3.4
Darryl Simmons ll,Villanova,PG,84,84,16.4,1.9,2.8,35.4
Tyler Perkins,Villanova,SG,83,83,13.7,5.4,1.6,29.9
Devin Royale,Villanova,SF,83,83,13.7,5.7,1.6,32.5
Kwame Evans Jr.,Villanova,PF,84,84,13.3,7.4,2.0,30.9
Luigi Suigo,Villanova,C,85,85,,,,
Elijah Crawford,Villanova,PG,81,81,14.1,2.9,4.9,25.8
Jake Fiegen,Villanova,SG,82,82,17.1,5.1,2.1,26.1
Adam Oumiddoch,Villanova,SG,76,76,,,,
Nico Onyekwere,Villanova,C,70,70,,,,
Donnie Freeman,St. John's,PF,86,86,16.5,7.2,1.3,31.3
Ruben Prey,St. John's,C,85,85,4.3,2.1,0.8,10.7
Ian Jackson,St. John's,SG,80,80,9.4,2.3,1.3,18.3
Dordije Jovanovic,St. John's,SF,80,80,,,,
Lazar Stojkovic,St. John's,C,79,79,,,,
Lefteris Liotopoulos,St. John's,PG,70,70,2.9,0.9,0.4,7.7
Kyle Cuffe Jr.,St. John's,SG,70,70,7.3,1.8,0.4,16.4
Theo Edema,St. John's,C,73,73,,,,
Avery Brown,St. John's,PG,70,70,4.3,2.0,0.3,15.0
Casper Pohto,St. John's,SG,68,68,0.3,0.7,0.2,4.5
Fotis Konstantindis,St. John's,PG,67,67,0.4,0.1,0.1,1.1
Simeon Wilcher,Seton Hall,PG,79,79,5.6,1.8,1.7,18.6
Del Jones,Seton Hall,SG,85,85,17.2,3.5,3.5,31.7
