espn_id,season,name,decision,row_id,row_team,kept_id,kept_team
5176451,2024,Keyon Kensie Jr.,KEEP (bbref=San Diego),48180,San Diego,,
5176451,2024,Keyon Kensie Jr.,DELETE (phantom),19953,Portland State,48180,San Diego
5176451,2025,Keyon Kensie Jr.,KEEP (bbref=San Diego),52995,San Diego,,
5176451,2025,Keyon Kensie Jr.,DELETE (phantom),19954,Portland State,52995,San Diego
5106634,2023,Keyontae Lewis,KEEP (bbref=Wagner),19957,Wagner,,
5106634,2023,Keyontae Lewis,DELETE (phantom),19956,Norfolk State,19957,Wagner
5106634,2024,Keyontae Lewis,UNRESOLVED (no bbref row),19958,Norfolk State,,
5106634,2024,Keyontae Lewis,UNRESOLVED (no bbref row),19959,Wagner,,
5106634,2025,Keyontae Lewis,UNRESOLVED (no bbref row),19961,Wagner,,
5106634,2025,Keyontae Lewis,UNRESOLVED (no bbref row),19960,Norfolk State,,
5075625,2023,Keyshawn Hall,KEEP (bbref=Nevada-Las Vegas),33365,Nevada-Las Vegas,,
5075625,2023,Keyshawn Hall,DELETE (phantom),19962,Auburn,33365,Nevada-Las Vegas
5075625,2024,Keyshawn Hall,KEEP (bbref=George Mason),46011,George Mason,,
5075625,2024,Keyshawn Hall,DELETE (phantom),19963,Auburn,46011,George Mason
5174851,2024,Keyshawn Mitchell,KEEP (bbref=Bryant),45282,Bryant,,
5174851,2024,Keyshawn Mitchell,DELETE (phantom),19966,Virginia Commonwealth,45282,Bryant
5174851,2025,Keyshawn Mitchell,KEEP (bbref=Bryant),49900,Bryant,,
5174851,2025,Keyshawn Mitchell,DELETE (phantom),19967,Virginia Commonwealth,49900,Bryant
4897575,2022,Kezza Giffa,KEEP (bbref=UTEP),28670,UTEP,,
4897575,2022,Kezza Giffa,DELETE (phantom),19971,Mississippi,28670,UTEP
4897575,2025,Kezza Giffa,UNRESOLVED (no bbref row),19974,Mississippi,,
4897575,2025,Kezza Giffa,UNRESOLVED (no bbref row),50955,High Point,,
5177137,2024,Khaden Bennett,KEEP (bbref=Quinnipiac),47888,Quinnipiac,,
5177137,2024,Khaden Bennett,DELETE (phantom),19977,Wyoming,47888,Quinnipiac
5177137,2025,Khaden Bennett,KEEP (bbref=Quinnipiac),52701,Quinnipiac,,
5177137,2025,Khaden Bennett,DELETE (phantom),19978,Wyoming,52701,Quinnipiac
5239768,2025,Khalil Badru,KEEP (bbref=New Hampshire),52052,New Hampshire,,
5239768,2025,Khalil Badru,DELETE (phantom),19985,Iona,52052,New Hampshire
5105717,2024,Khalil Farmer,KEEP (bbref=Hofstra),46181,Hofstra,,
5105717,2024,Khalil Farmer,DELETE (phantom),19987,Massachusetts-Lowell,46181,Hofstra
5105717,2025,Khalil Farmer,KEEP (bbref=Hofstra),50980,Hofstra,,
5105717,2025,Khalil Farmer,DELETE (phantom),19988,Massachusetts-Lowell,50980,Hofstra
5105760,2024,Khalil London,KEEP (bbref=College of Charleston),45463,College of Charleston,,
5105760,2024,Khalil London,DELETE (phantom),19990,Tennessee State,45463,College of Charleston
4873206,2025,Khaman Maker,KEEP (bbref=St. John's (NY)),53278,St. John's (NY),,
4873206,2025,Khaman Maker,DELETE (phantom),19995,DePaul,53278,St. John's (NY)
4897715,2022,Khamari McGriff,KEEP (bbref=UNC Wilmington),28596,UNC Wilmington,,
